Week,Punter,Team,Blocks,Touchbacks,Fair Catches,Out-of_Bounds,50+,60+,70+,Under 20,Under 10,Under 5,1 Yd Line,Punt Avg,Return Avg,Holds,Misses,First Downs,Touchdowns,Fumbles,Interceptions,Conduct,Total Points
2,R.Quigley,MIN,0,0.0,0.75,0.1,2,0.0,0.0,3,0.0,0.0,0.0,-0.1,0.9500000000000001,0.1,-0.25,0,0,-0.0,-0.0,0,6.55
2,B.Anger,TB,0,0.0,0.25,0.0,2,0.0,0.0,1,0.0,0.0,0.0,0.3666666666666665,0.4,0.5,-0.0,0,0,-0.0,-0.0,0,4.516666666666667
2,P.O'Donnell,CHI,0,0.4,0.0,0.0,3,0.75,0.0,1,0.75,0.0,0.0,1.1,-0.8,0.1,-0.0,0,0,-0.0,-0.0,0,6.3
2,D.Kaser,LAC,0,0.0,0.0,0.0,1,0.0,0.0,3,0.0,0.0,0.0,-0.25,0.2,0.30000000000000004,-0.5,0,0,-0.0,-0.0,0,3.75
2,M.Haack,MIA,0,0.4,0.0,0.1,2,0.0,0.0,0,0.0,0.0,0.0,-0.16666666666666644,-1.4000000000000001,0.5,-0.0,0,0,-0.0,-0.0,0,1.4333333333333333
2,M.King,OAK,0,0.0,0.25,0.0,2,0.75,0.0,2,0.0,0.0,0.0,1.0333333333333337,0.35000000000000003,0.7000000000000001,-0.0,0,0,-0.0,-0.0,0,7.083333333333333
2,L.Edwards,NYJ,0,0.0,0.25,0.1,1,0.0,0.0,2,0.0,0.0,0.0,-0.5333333333333335,-0.4,0.4,-0.0,0,0,-0.0,-0.0,0,2.8166666666666664
2,C.Jones,DAL,0,0.4,0.0,0.2,3,0.75,0.0,2,0.75,0.0,0.0,0.47999999999999976,0.1666666666666667,0.30000000000000004,-0.0,0,0,-0.0,-0.0,0,8.046666666666667
2,R.Dixon,DEN,0,0.0,0.0,0.1,0,0.0,0.0,1,0.0,0.0,0.0,-0.2,-1.0,0.5,-0.25,0,0,-0.0,-0.0,0,0.15000000000000013
2,J.Hekker,LA,0,0.0,0.0,0.1,1,0.0,0.0,1,0.75,0.0,0.0,0.05,0.25,0.4,-0.0,3,0,-0.0,-0.0,0,6.55
