Week,Punter,Team,Punts,Punt Yards,Blocks,Touchbacks,Fair Catches,Out-of_Bounds,50+,60+,70+,Under 20,Under 10,Under 5,1 Yd Line,Returns,Return Yards,Holds,Misses,First Downs,TD,Fumbles,Int,Conduct
2,P.O'Donnell,CHI,3,168,0,1,0,0,3,1,0,1,1,0,0,1,17,1,0,0,0,0,0,0
2,D.Kaser,LAC,4,170,0,0,0,0,1,0,0,3,0,0,0,3,21,3,2,0,0,0,0,0
2,M.Haack,MIA,3,130,0,1,0,1,2,0,0,0,0,0,0,1,23,5,0,0,0,0,0,0
2,M.King,OAK,3,166,0,0,1,0,2,1,0,2,0,0,0,2,11,7,0,0,0,0,0,0
2,L.Edwards,NYJ,3,119,0,0,1,1,1,0,0,2,0,0,0,1,13,4,0,0,0,0,0,0
2,C.Jones,DAL,5,249,0,1,0,2,3,1,0,2,1,0,0,3,22,3,0,0,0,0,0,0
2,R.Dixon,DEN,3,129,0,0,0,1,0,0,0,1,0,0,0,1,19,5,1,0,0,0,0,0
2,J.Hekker,LA,4,182,0,0,0,1,1,0,0,1,1,0,0,2,13,4,0,1,0,0,0,0
2,T.Way,WAS,4,204,0,0,0,0,2,1,0,2,2,0,0,4,24,5,1,0,0,0,0,0
2,B.Pinion,SF,7,307,0,0,2,1,1,0,0,4,1,1,0,3,0,3,0,0,0,0,0,0
2,J.Ryan,SEA,7,309,0,0,3,1,2,0,0,3,1,0,0,3,40,2,1,0,0,0,0,0
2,M.Bosher,ATL,4,165,0,0,3,0,1,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0
2,J.Vogel,GB,3,119,0,0,0,0,0,0,0,1,1,0,0,1,0,3,0,0,0,0,0,0
2,J.Locke,DET,5,209,0,0,3,0,1,0,0,3,1,0,0,2,9,3,0,0,0,0,0,0
2,B.Wing,NYG,5,239,0,0,1,1,2,1,0,0,0,0,0,3,101,2,0,0,0,0,0,0
3,B.Pinion,SF,2,83,0,0,1,0,1,0,0,2,0,0,0,1,0,5,1,0,0,0,0,0
3,J.Hekker,LA,2,113,0,0,0,0,1,1,0,0,0,0,0,2,9,7,0,0,0,0,0,0
3,S.Koch,BAL,7,311,0,1,1,1,2,1,0,1,0,0,0,2,2,1,0,0,0,0,0,0
3,B.Nortman,JAX,3,150,0,0,2,1,2,1,0,1,1,0,0,0,0,8,0,0,0,0,0,0
3,R.Dixon,DEN,3,125,0,1,0,0,0,0,0,0,0,0,0,2,20,4,0,0,0,0,0,0
3,C.Schmidt,BUF,5,226,0,1,3,0,2,0,0,2,1,0,0,1,16,6,0,0,0,0,0,0
3,T.Morstead,NO,3,150,0,0,1,0,2,0,0,2,0,0,0,2,12,6,1,0,0,0,0,0
3,M.Palardy,CAR,3,129,0,1,1,0,1,0,0,0,0,0,0,1,12,3,0,0,0,0,0,0
3,J.Berry,PIT,5,203,0,1,3,0,0,0,0,3,1,0,0,1,0,3,0,0,0,0,0,0
3,P.O'Donnell,CHI,6,267,0,0,2,1,2,1,0,2,0,0,0,3,15,3,1,0,0,0,0,0
3,J.Locke,DET,5,239,0,0,2,0,1,0,0,1,1,0,0,2,38,5,0,0,0,0,0,0
3,M.Bosher,ATL,2,91,0,0,1,0,0,0,0,1,0,0,0,1,10,6,0,0,0,0,0,0
3,R.Sanchez,IND,7,320,0,1,3,2,1,0,0,2,1,0,0,1,0,5,0,0,0,0,0,0
3,B.Colquitt,CLE,7,347,0,0,2,1,4,0,0,3,1,1,0,3,16,4,0,0,0,0,0,0
3,R.Quigley,MIN,3,121,0,0,3,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0
3,B.Anger,TB,4,163,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
3,S.Lechler,HOU,4,234,0,0,1,0,3,2,0,2,2,0,0,2,53,6,0,0,0,0,0,0
3,R.Allen,NE,6,272,0,1,1,0,3,1,0,3,0,0,0,3,20,4,0,0,0,0,0,0
3,L.Edwards,NYJ,5,243,0,0,2,1,2,1,0,3,1,0,0,2,13,4,1,0,0,0,0,0
3,M.Haack,MIA,7,333,0,1,1,0,2,1,0,1,0,0,0,4,31,0,1,0,0,0,1,0
3,D.Jones,PHI,4,182,0,1,1,1,1,0,0,0,0,0,0,1,0,5,1,0,0,0,0,0
3,B.Wing,NYG,4,154,0,1,1,1,1,0,0,1,0,0,0,1,9,4,0,0,0,0,0,0
3,B.Kern,TEN,6,341,0,1,0,2,4,3,0,2,0,0,0,3,32,7,0,0,0,0,0,0
3,J.Ryan,SEA,8,388,0,1,0,1,3,1,0,0,0,0,0,5,51,3,0,0,0,0,0,0
3,K.Huber,CIN,6,296,0,0,1,0,2,0,0,1,0,0,0,5,70,3,1,0,0,0,0,0
3,J.Vogel,GB,6,296,0,0,0,1,5,1,0,2,1,0,0,5,31,5,0,0,0,0,0,0
3,D.Colquitt,KC,5,249,0,0,2,0,2,1,0,3,0,0,0,3,12,4,0,0,0,0,0,0
3,D.Kaser,LAC,5,250,0,2,0,0,2,1,0,2,1,0,0,2,10,2,0,0,0,0,0,0
3,M.King,OAK,7,369,0,0,2,1,5,2,0,4,1,0,0,4,23,2,0,0,0,0,0,0
3,T.Way,WAS,5,221,0,0,3,0,2,0,0,3,1,0,0,2,4,5,1,0,0,0,0,0
3,C.Jones,DAL,7,311,0,0,2,1,3,0,0,4,2,1,0,2,4,4,0,0,0,0,0,0
3,A.Lee,ARI,6,271,0,0,1,0,2,0,0,2,1,0,0,4,43,3,1,0,0,0,0,0
4,J.Vogel,GB,5,238,0,0,0,2,2,1,0,1,0,0,0,2,7,5,0,0,0,0,0,0
4,P.O'Donnell,CHI,3,147,0,0,2,0,1,0,0,2,1,0,0,1,5,2,1,0,0,0,0,0
4,M.Haack,MIA,6,263,0,0,2,0,0,0,0,2,0,0,0,3,26,0,0,0,0,0,0,0
4,T.Morstead,NO,3,141,0,0,0,1,1,0,0,0,0,0,0,2,9,4,1,0,0,0,0,0
4,M.Bosher,ATL,3,120,0,0,3,0,0,0,0,3,1,0,0,0,0,3,0,0,0,0,0,0
4,C.Schmidt,BUF,4,189,0,0,1,0,1,1,0,1,1,1,1,2,8,4,0,0,0,0,0,0
4,S.Koch,BAL,5,222,0,0,1,0,1,0,0,2,1,1,0,2,15,1,1,0,0,0,0,0
4,J.Berry,PIT,4,150,0,0,1,1,0,0,0,1,0,0,0,1,0,4,1,0,0,0,0,0
