Week,Owner,Punter,Team,Blocks,Touchbacks,Fair Catches,Out-of_Bounds,50+,60+,70+,Under 20,Under 10,Under 5,1 Yd Line,Punt Avg,Return Avg,Total Points
1,Free Agent,D.Butler,ARI,0,0.0,0.25,0.15,0,0.0,0.0,2,0.75,0.5,0.0,-0.55,-0.7000000000000001,2.3999999999999995
1,Fed,S.Martin,DET,0,0.0,0.5,0.3,0,0.0,0.0,3,0.0,0.0,0.0,-0.9799999999999998,0,2.8200000000000003
1,Free Agent,M.Scifres,SD,0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.7000000000000001,0.8,2.5
1,Free Agent,S.Koch,BAL,0,0.0,0.25,0.3,4,0.0,0.0,2,0.75,0.0,0.0,0.6666666666666665,-0.2333333333333333,7.733333333333333
1,Looney,B.Colquitt,DEN,0,0.0,0.25,0.15,4,0.75,0.0,2,0.0,0.0,0.0,0.6799999999999997,0.7000000000000001,8.53
1,Ralph,M.King,OAK,0,0.4,0.75,0.0,0,0.0,0.0,2,0.75,0.0,0.0,-0.16666666666666644,0.25,3.9833333333333334
1,Free Agent,K.Huber,CIN,0,0.0,0.25,0.0,1,0.0,0.0,1,0.75,0.0,0.0,-0.12000000000000029,0.0,2.88
1,Free Agent,J.Schum,TB,0,0.0,0.0,0.15,1,0.0,0.0,0,0.0,0.0,0.0,0.2,-0.2,1.15
1,Gillen,B.Kern,TEN,0,0.0,0.0,0.15,1,0.0,0.0,1,0.75,0.5,0.0,0.225,-0.05,3.575
1,Free Agent,C.Jones,DAL,0,0.0,0.0,0.0,2,0.0,0.0,1,0.75,0.0,0.0,0.8500000000000001,-0.75,3.8499999999999996
1,Free Agent,B.Wing,NYG,0,0.0,0.5,0.0,2,0.75,0.0,3,0.75,0.0,0.0,-0.025,-1.2000000000000002,5.7749999999999995
1,Connor,M.Bosher,ATL,0,0.0,0.0,0.15,4,0.75,0.0,3,0.75,0.0,0.0,1.2750000000000001,-0.06666666666666661,9.858333333333334
1,Free Agent,D.Jones,PHI,0,0.4,0.25,0.0,3,1.5,0.0,1,0.0,0.0,0.0,0.020000000000000285,-0.1666666666666667,6.003333333333334
1,Free Agent,B.Pinion,SF,0,0.0,0.25,0.0,1,0.0,0.0,2,0.0,0.0,0.0,0.16666666666666644,-0.45,2.9666666666666663
1,Free Agent,J.Locke,MIN,0,0.0,0.25,0.15,0,0.0,0.0,2,0.0,0.0,0.0,-0.75,-0.9,0.7499999999999999
2,Looney,B.Colquitt,DEN,0,0.0,0.25,0.15,2,0.0,0.0,1,0.75,0.0,0.0,-0.01428571428571459,-0.525,3.610714285714286
2,Julian,D.Colquitt,KC,0,0.0,0.25,0.3,3,0.0,0.0,1,0.0,0.0,0.0,0.75,0,5.3
2,Kane,B.Nortman,CAR,0,0.4,0.0,0.0,4,3.0,0.0,0,0.0,0.0,0.0,0.8857142857142855,0.06666666666666661,8.352380952380953
2,Free Agent,S.Lechler,HOU,0,0.0,0.75,0.0,3,0.75,0.0,3,0.0,0.0,0.0,0.35000000000000003,0.2,8.049999999999999
2,Miles,R.Allen,NE,0,0.0,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.9,0.5,2.4
2,Free Agent,C.Schmidt,BUF,0,0.0,0.25,0.15,1,0.0,0.0,2,0.0,0.0,0.0,-0.35000000000000003,0.125,3.175
2,Free Agent,K.Huber,CIN,0,0.4,0.0,0.0,2,0.0,0.0,2,0.75,0.0,0.0,0.8666666666666665,-0.9,5.116666666666666
2,Free Agent,M.Scifres,SD,0,0.0,0.0,0.0,2,0.0,0.0,0,0.0,0.0,0.0,0.30000000000000004,0.06666666666666661,2.3666666666666663
2,Gillen,B.Kern,TEN,0,0.0,0.0,0.0,4,0.0,0.0,1,0.0,0.0,0.0,0.46666666666666645,1.666666666666667,7.133333333333334
2,Free Agent,A.Lee,CLE,0,0.4,0.25,0.0,4,1.5,0.0,2,0.0,0.0,0.0,0.8166666666666664,0.125,9.091666666666667
