Week,Owner,Punter,Team,Punts,Punt Yards,Blocks,Touchbacks,Fair Catches,Out-of_Bounds,50+,60+,70+,Under 20,Under 10,Under 5,1 Yd Line,Returns,Return Yards
10,Free Agent,S.Koch,BAL,4,184,0,1,0,0,1,0,0,3,1,1,1,2,-2
10,Free Agent,B.Colquitt,CLE,7,300,0,0,3,0,2,0,0,1,0,0,0,3,27
10,Free Agent,G.Gano,CAR,4,180,0,2,0,0,1,0,0,0,0,0,0,2,21
10,Free Agent,A.Lee,CAR,1,43,0,0,0,0,0,0,0,0,0,0,0,1,6
10,Free Agent,D.Colquitt,KC,5,245,0,1,2,1,2,1,0,2,1,0,0,1,9
10,Free Agent,S.Lechler,HOU,3,138,0,0,0,1,1,0,0,1,1,0,0,2,11
10,Free Agent,B.Nortman,JAX,3,115,0,1,0,1,0,0,0,0,0,0,0,1,57
10,Free Agent,T.Morstead,NO,4,163,0,0,2,0,1,0,0,2,0,0,0,2,17
10,Free Agent,R.Dixon,DEN,3,124,0,0,1,0,0,0,0,2,0,0,0,2,4
10,Free Agent,L.Edwards,NYJ,8,342,0,0,3,0,3,0,0,2,1,0,0,4,38
10,Free Agent,J.Hekker,LA,7,362,0,0,2,0,3,2,1,4,1,1,1,4,10
10,Free Agent,M.Bosher,ATL,2,95,0,0,1,0,1,0,0,1,0,0,0,0,0
10,Free Agent,M.Bryant,ATL,2,67,0,0,2,0,0,0,0,0,0,0,0,0,0
10,Free Agent,D.Jones,PHI,2,86,0,0,0,1,0,0,0,0,0,0,0,1,9
10,Free Agent,P.O'Donnell,CHI,5,218,0,0,3,0,2,0,0,2,0,0,0,1,5
10,Free Agent,B.Anger,TB,5,214,0,0,2,0,1,0,0,2,2,1,0,2,-3
10,Free Agent,J.Schum,GB,4,202,0,1,1,0,2,0,0,1,0,0,0,2,23
10,Free Agent,B.Kern,TEN,4,166,0,0,1,0,0,0,0,0,0,0,0,3,14
10,Free Agent,J.Locke,MIN,5,217,0,0,3,0,0,0,0,2,2,0,0,2,6
10,Free Agent,T.Way,WAS,2,92,0,0,1,0,1,0,0,0,0,0,0,1,5
10,Free Agent,D.Kaser,SD,4,199,0,0,0,0,3,0,0,3,2,0,0,3,3
10,Free Agent,M.Darr,MIA,5,258,0,0,0,0,3,0,0,1,1,1,0,3,45
10,Free Agent,B.Pinion,SF,7,305,0,0,3,0,2,0,0,3,2,1,0,3,13
10,Free Agent,R.Quigley,ARI,4,177,0,0,2,0,1,0,0,0,0,0,0,2,28
10,Free Agent,J.Berry,PIT,4,174,0,0,1,1,1,0,0,2,0,0,0,2,44
10,Free Agent,C.Jones,DAL,3,145,0,0,1,1,0,0,0,1,0,0,0,1,22
10,Free Agent,R.Allen,NE,2,92,0,0,0,0,1,0,0,0,0,0,0,2,4
10,Free Agent,J.Ryan,SEA,2,105,0,0,0,0,2,0,0,2,0,0,0,2,8
10,Free Agent,B.Wing,NYG,6,276,0,0,2,0,3,0,0,2,1,0,0,3,35
10,Free Agent,K.Huber,CIN,7,336,0,0,2,0,4,0,0,2,1,1,1,4,40
11,Free Agent,M.Palardy,CAR,6,280,0,1,0,0,3,0,0,1,1,0,0,4,46
11,Free Agent,T.Morstead,NO,3,141,0,0,1,0,2,0,0,1,1,0,0,2,10
11,Free Agent,K.Huber,CIN,6,267,0,0,2,0,2,0,0,2,1,1,1,3,33
11,Free Agent,C.Schmidt,BUF,5,192,0,0,1,1,1,0,0,3,1,0,0,2,23
11,Free Agent,B.Colquitt,CLE,3,139,0,0,1,0,0,0,0,2,0,0,0,1,7
11,Free Agent,J.Berry,PIT,3,150,0,0,0,0,2,0,0,0,0,0,0,3,32
11,Free Agent,C.Jones,DAL,4,184,0,1,1,0,1,1,0,2,0,0,0,1,0
11,Free Agent,S.Koch,BAL,5,237,0,1,1,1,1,0,0,2,1,0,0,2,24
11,Free Agent,S.Martin,DET,6,291,0,0,3,1,2,1,0,3,1,0,0,1,3
11,Free Agent,B.Nortman,JAX,6,245,0,0,3,0,1,0,0,4,1,1,0,2,55
11,Free Agent,P.McAfee,IND,3,132,0,0,2,0,0,0,0,2,1,1,0,1,1
11,Free Agent,B.Kern,TEN,5,219,0,1,1,1,2,0,0,1,0,0,0,2,12
11,Free Agent,D.Colquitt,KC,3,130,0,0,1,0,1,0,0,1,1,1,0,1,13
11,Free Agent,B.Anger,TB,2,80,0,1,0,0,0,0,0,0,0,0,0,1,20
11,Free Agent,D.Butler,ARI,5,224,0,0,2,0,1,0,0,2,0,0,0,3,35
11,Free Agent,J.Locke,MIN,4,225,0,0,0,0,4,1,1,2,0,0,0,3,36
11,Free Agent,B.Wing,NYG,6,267,0,0,3,0,1,0,0,2,0,0,0,3,12
11,Free Agent,P.O'Donnell,CHI,6,289,0,0,1,2,3,1,0,2,1,0,0,3,14
11,Free Agent,J.Hekker,LA,8,364,0,0,3,3,2,1,0,5,0,0,0,1,1
